Compound,mz,rt,UM1850B_ANGDT_0.25_mL_36_1_4792,UM1850B_ANGDT_0.25_mL_36_1_4802,UM1850B_ANGDT_0.25_mL_36_1_4815,UM1852B_Coculture_42_1_4685,UM1852B_Coculture_42_1_4695,UM1852B_Coculture_42_1_4709,UM1852B_Coculture_42_1_4785,UM1850B_ANGDT_48_1_4782,UM1850B_ANGDT_48_1_4794,UM1850B_ANGDT_48_1_4823,UM1852B_Coculture_0.25mgml_19_1_4812,UM1852B_Coculture_0.25mgml_19_1_4819,UM1852B_Coculture_0.25mgml_19_2_4820
10866,556.308216,284.22,0,0,0,0,0,0,0,0,0,0,0,0,0
9610,380.058026,220.51,0,0,0,1405.03,1415.8,1497.79,0,0,0,0,0,0,0
2558,712.248126,46.51,0,383.71,0,0,0,0,0,0,721.33,1765.22,846.68,1199.66,1010.9
7323,459.260926,182.83,0,0,0,0,0,0,0,0,395.74,529.18,0,0,0
8046,772.423976,192.63,0,0,0,0,0,0,0,0,0,0,0,0,0
442,880.278096,141.99,0,0,0,842.48,751.3,665.6,0,0,0,0,0,0,0
10481,309.081906,247.23,0,0,0,0,0,0,0,1171.77,1232.65,1231.22,0,0,0
9431,426.200976,216.79,0,0,0,0,0,0,0,0,0,0,0,0,0
792,519.636076,162.69,0,0,0,4544.41,4286.47,4747.73,0,0,0,0,0,0,0
8239,543.347816,194.67,0,0,0,0,0,0,0,0,0,0,0,0,0
3780,454.251266,132.72,0,0,0,0,0,0,0,0,0,0,0,0,0
7849,530.315366,189.65,0,0,0,914.9,922.11,920.48,0,0,0,0,0,0,0
2158,231.031176,301.88,0,0,0,0,0,0,0,1025.41,0,0,0,0,0
5676,262.117966,162.37,0,0,0,0,0,0,0,1159.41,1319.23,1264.68,0,0,0
8229,410.032076,196.43,0,0,0,3097.8,2934.05,3735.78,0,0,0,0,0,0,0
9595,453.110146,220.53,0,0,0,59804.86,62426.27,56030.05,0,0,0,0,0,0,0
11297,815.513876,423.48,0,0,0,555.37,439.18,763.64,0,0,0,0,0,0,0
7125,601.395076,181.08,0,0,0,1794.07,1929.62,2937.92,0,0,0,0,0,0,0
3055,592.265786,53.06,1245.9,1112.06,1586.62,0,0,0,0,2917.39,3284.44,2611.02,1677.95,1157.6,1510.61
11711,379.282578,506.43,0,0,0,1097.34,1093.21,1329.15,0,0,0,0,0,0,0
2566,681.317188,46.38,2869.35,1261.38,1167.17,0,0,0,0,8776.05,5241.73,8945.85,2093.62,1668.83,1146.89
8588,325.164888,199.66,0,0,0,0,0,0,0,582.37,577.72,640.89,0,0,0
5450,468.330168,159.99,0,0,0,1783.17,1788.09,1894.13,0,0,0,0,0,0,0
10751,487.053228,274.54,0,0,0,0,0,0,0,789,797.01,748.63,0,0,0
8036,438.203728,191.6,0,0,0,0,0,0,0,603.57,740.39,778.77,0,0,0
7777,216.099068,188.8,0,0,0,0,0,0,0,0,0,0,0,0,0
3028,460.244018,52.11,0,0,0,0,0,0,0,0,0,0,0,0,0
7434,399.206448,184.37,0,0,0,0,0,0,0,0,0,0,0,0,0
6487,594.292338,169.83,0,0,0,1600.82,1361.69,1003.74,0,0,0,0,0,0,0
2429,393.104578,483.14,0,0,0,964.14,721.15,743.51,0,0,0,0,0,0,0
10027,429.251018,230.17,0,0,0,3728.26,4063.71,3595.16,0,0,0,0,0,0,0
10962,381.157418,302.34,0,0,0,0,0,0,0,0,1456.04,1690.65,0,0,0
3850,524.307438,133.45,0,0,0,0,0,0,0,0,0,0,0,0,0
9916,632.306098,226.94,0,0,0,0,0,0,0,0,0,0,0,0,0
9152,183.090808,211.61,0,0,0,2435.4,3752.98,3695.45,0,0,0,0,0,0,0
4005,397.256388,136.97,0,0,0,606.65,691.47,481.35,0,0,0,0,0,0,0
4712,508.193278,146.77,0,0,0,0,0,0,0,920.56,956.11,793.24,0,0,0
4348,486.291848,141.08,0,0,0,0,0,0,0,0,0,0,0,0,0
3907,701.372348,135.23,0,0,0,0,0,0,0,0,0,0,0,0,0
6951,357.188498,176.87,0,0,0,0,0,0,0,1565.56,1352.78,1513.47,0,0,0
2600,462.220748,46.42,0,0,0,0,0,0,0,0,0,0,0,0,0
7759,334.035488,189.02,0,0,0,0,0,0,0,0,0,0,0,0,0
9644,523.251928,221.62,0,0,0,0,0,0,0,0,0,0,0,0,0
6517,577.232578,170.1,0,0,0,0,0,0,0,851.64,616.72,607.1,1098.3,1118.66,1154.78
10170,432.241048,233.9,0,0,0,0,0,0,0,0,0,0,0,0,0
4821,603.313358,148.17,0,0,0,0,0,0,0,0,0,0,0,0,0
7693,548.343738,187.86,0,0,0,5896.5,8451.42,8490.22,0,0,0,0,0,0,0
3393,465.283238,57.48,0,0,0,0,0,0,0,0,0,0,0,0,0
7214,717.394458,181.62,0,0,0,5654.85,5606.98,5824.24,0,0,0,0,0,0,0
11077,430.033928,324.24,0,0,0,1102.56,1095.95,1172.8,0,0,0,0,0,0,0
10288,429.250868,239.81,0,0,0,3569.52,3969.88,3291.58,0,0,0,0,0,0,0
2991,527.246838,53.5,0,0,0,0,4666.96,4981.23,0,0,0,0,0,0,0
2541,631.307408,46,0,0,0,1644.09,1651.39,1640.27,0,0,0,0,0,0,0
7101,513.267308,181.02,0,0,0,0,0,0,0,579.44,476.22,514.65,0,0,0
10797,367.143078,280.36,3551.5,2833.15,3356.08,0,0,0,0,0,0,3117.17,2824.2,3351.51,2536.97
8565,309.160068,199.65,0,0,0,1550.11,1026.51,1241.74,0,0,0,0,0,0,0
2837,355.242518,51.01,0,0,0,0,0,0,0,0,0,0,0,0,0
7359,699.398338,183.3,0,0,0,0,0,0,0,0,0,0,0,0,0
7024,327.176618,178.61,0,0,0,0,0,0,0,0,0,0,0,0,0
2870,282.145648,49.22,0,0,0,2720.49,3354.21,3185.11,0,0,0,0,0,0,0
5202,547.247908,156.72,0,0,0,0,0,0,0,962.48,1118.85,1257.84,0,0,0
11342,507.331538,431.31,0,0,0,6291.99,6093.17,6698.44,0,0,0,0,0,0,0
11319,683.433598,426.28,1099.73,1388.68,948.13,0,0,0,0,3792.91,3854.94,810.7,1112.04,990.53,748.32
10882,500.245368,287.01,0,0,0,0,0,0,0,0,0,0,0,0,0
4792,586.284588,149.69,0,0,0,0,0,0,0,0,0,0,0,0,0
5852,500.308158,162.04,0,0,0,0,0,0,0,0,0,0,0,0,0
4948,546.311968,151.75,0,0,0,0,0,0,0,0,0,0,0,0,0
